Text,Emotion
i mean their puzzle section is about on par with my coffee numb mental faculties right now but still crosswords shouldnt be able to make me feel that dissatisfied,anger
i get angry at myself when i feel bitter,anger
i feel like it but i cant i cant give in i am just to stubborn and i must win,anger
i posted this lovely picture on instagram and was feeling slightly rebellious walking on that plane feeling,anger
im just not feeling it at all id much rather stay in singapore and spend time with my friends i hate everyone and sara is being really bitchy right now div style clearboth padding bottom,anger
i vividly remember feeling so offended that she would even dream such a thing could be a choice,anger
when they changed my office to another room without my agreement,anger
i feel disgusted when need to act cute like the actions of gwiyomi,anger
i feel like people are aggravated with me but why,anger
i write what i feel if you get annoyed and sick of this simply close the tab,anger
im so full of life i feel appalled,anger
Dear Indians..It is hard to swallow this but for once try to swallow this bitter pill...that is.. Pakistan is number one in Test cricket!!!,anger
i ever feel anymore is when one of us gets angry,anger
i kept feeling enraged that she was in too,anger
i feel so fucked like everyday of my life,anger
i am feeling quite disorganised and distracted and i wish i could answer some of the questions i seem to be unable to block out or forget or answer with logical answers uuuugh,anger
im happy to report that i didnt feel that angered urge to smack olivia today the way ive felt it before,anger
i do give up at times when i feel there s no point in a friendship when one cant be bothered,anger
i feel the eyes on me the hateful eyes on the other side of the glass that belong to the family members of my beautiful victims,anger
i feel too selfish to talk about you to anyone else thyroid for i do not want them to think i am just dramatic and whiny when really it is just hard for them to understand that yes someone can look fine and still feel terrible,anger
i was incredibly youthful in my employment in which i had been angry stay when i was feeling i had been offended simply because i wasnt the professional decided on,anger
i would not knowingly wound the feelings of any not even one who may have wronged me but would seek to do him good and make him my friend,anger
i made it and enjoyed most of my run but now i m feeling greedy,anger
i feel grumpy to wake up so early,anger
i used to always feel jealous about most things they received from compliments to some valuable stuffs,anger
i do feel a bit obnoxious it is definately the weather,anger
i write this very moment i feel the cold chill of,anger
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,anger
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger
i feel that now i am a lot less irritable than i was before,anger
i guess i feel dissatisfied lately because i have deleted my myspace made a facebook and then deleted that all within hours,anger
im feeling so irritable about todays class,anger
Anger is cheap and politeness is expensive. Don't expect everybody to be polite. #ThoughtfulThursday  #politeness,anger
ive vented and cried and now im a little more calm and feeling less hostile,anger
i feel insulted video pete edochie responds to death hoax i feel insulted a href http olajideolafunmbi,anger
i got this amazing news from tracy today the final covers only chapters no wonder we were feeling so rushed and it seemed we didnt have enough time,anger
i suppose in some ways i should feel irritated that if she knew why didn t she do anything to help me with this lone cause i was feeling,anger
@TheDTSB @trubble1127 @nflnetwork I agree but our offense was ass after the second half td score on the first drive,anger
i need to take my own advice and the advice of many many writers who i admire get the butt in the chair every day even if youre feeling distracted or stressed or whatever,anger
i just feel like warner brothers fucked with the final edit and that an even better film will be arriving in director s cut format on blu ray,anger
i feel a bit pissed off because we went first,anger
i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out,anger
Where's your outrage when a black man kills another black man in the streets?,anger
heated discussion with spouse concerning new house,anger
i feel irritable or depressed during the course of the day i just stop and think am i too hungry angry lonely or tired,anger
"I don't mean to offend anyone, but 93.7 literally blames everything on white people. In some cases it's true, but a lot of times, it's not",anger
i can get to the bottom of this feeling and not just berate myself for feeling dissatisfied,anger
i feel heartless in saying so though,anger
im feeling really annoyed,anger
i don t feel bitter about my lot nor do i wish any other mother s son was in my place,anger
i was sipping my diet coke watching my the swimming lessons and feeling aggravated that my mousekins were not being better listeners the thought crossed my mind,anger
i would just hurt others feelings i am so selfish,anger
i feel i am writing this blog for selfish reasons but i know god can use it for his her purpose,anger
You can't fight the elephants until you have wrestled the pigs. #quoteoftheday ,anger
i need to reflect on why i feel irritated,anger
i even get jealous when my bf speaks to his best friend who is a girl and also friend of mine but i listen and understand their friendship because my trust towards my bf is higher than me feeling jealous,anger
i was feeling mad,anger
i was yelling to the group in front and not getting an answer and getting increasingly concerned and feeling increasingly frustrated with those lagging behind despite repeated explanations and pleas from me regarding the need to catch up with the advance group,anger
i feel so angry that cancer is slowly killing my dad,anger
id been struggling with feeling highly irritable toward my husband,anger
i started to feel resentful of the whole situation and that s when something clicked,anger
i feel to being distracted with things that take up my attention or interests that keep me from more focused times of prayer and reading his word,anger
i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track,anger
im feeling angry i think i strop about ruffling the air and inflating my position and exaggerating the issue,anger
im feeling really bitchy so just stop reading if you dont want to hear my sob story,anger
@soyoprincess they irritate me. Them and their inch thick made up masks,anger
i think i am starting to feel jealous,anger
i feel like im being petty about this,anger
"@wmdev Every time I succeed with a code, I get &quot;We're Sorry. Your Credit Card Has Been Declined at this time.&quot;",anger
i need to remember something feel like it and not be distracted simultaneously before it happens,anger
i not feel resentful for always putting out more effort then ever receiving,anger
i get frustrated when i know that some of the things i am thinking or feeling are very very petty so i try and limit myself to opinions that have some sort of validity,anger
i feel so spiteful towards people sometimes just the way they look makes me want to hurt them,anger
i started secondary school at the age of every night i would cry and lose sleep over the thought of school the next day but it wasnt the usual feelings of oh i cant be bothered with school,anger
@leener00 @libbyfloyd1 @G_Eazy my snap is andriaprebles ❤️,anger
i feel like i get easily distracted in making things and switch around to many different projects throughout a week,anger
Shout out to my moms for wakin me up so prematurely! Preciate it,anger
i always feel jealous,anger
i am feeling that it my be a more dangerous task than dancing in a lightening storm with an umbrella,anger
"Ellie just gave me loads of gifts with notes on em for uni n I burst out in tears, I LOVE HER😩",anger
i feel like i should rely entirelly on gods word yet i am impatient to wait,anger
I think they may be ,anger
i know that i still feel kind of agitated but i also switch from feeling hot to feeling cold when i lay down,anger
i feel like a greedy ingrate for saying this but i felt kind of bad about my presents,anger
i feel like a heartless b tch for hating him so much,anger
i mostly feel this as a cause of hateful memories of that girl who used to run the everchanging sailormoon gateway who i think is still making a name for herself by being stupid and mean,anger
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger
the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage,anger
i feel a violent tug at my eye socket,anger
one of the main things im doing w/ 13c is filling in the void of my empty bitter heart by making everything how i wanted it to be growing up,anger
i used to feel as if i would be hated and whatever so i kept quiet about god,anger
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen.  #loathing,anger
i feel as though i fucked up so majorly this summer that im cast off into an alternate universe that i went the wrong way on a timeline and im stuck in a world that the same as the one i knew in all but one way,anger
i mean that it feels to me that she feels that everyfuckingthing is my fault which fucking makes me irritated because im neither passive enough to tolerate it nor is it my fault,anger
i feel very annoyed with this kind of people who comment and try to be so philosophy on their religion,anger
i feel the need to emphasize these things at the moment because of how grumpy i have been this last week,anger
i am feeling so nothing that i am not even getting agitated anymore,anger
the girl sitting in front of me is chewing her gum like a cow &amp; im ready to snap 🤗,anger
Not giving a fuck is better than revenge.,anger
@coltonflurry @StrangeFacesLA I cancelled by CBS all access live feeds before JC even said Vic won AFP. Paul.should have won IMO ,anger
i feel the need to emphasize these things at the moment because of how grumpy i have been this last week,anger
@judy_that Im honestly offended,anger
@lethargytyler ehhh I guess. I want to everyone I've ever burst out laughing in front of😂,anger
i had the feeling stubborn and ridiculous and possibly several more colourful turns of phrase as the children were all still asleep were on the tip of her tongue but she settled for heaving a sigh and turning to leave,anger
@sueblue35 @nsoz7 @immortalbulldog huh? We have a sprint coach? We're the slowest team in the comp. Talk about robbing a living. ,anger
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger
i feel like a rebellious year old that stands in the doorway flicking the lights off and on in the depths of my spirit,anger
one of my very good friends came to me for advice as her boyfriend had been hitting her and beating her quite harmfully,anger
i feel rude about going to the bathroom when she s in there,anger
i feel really fucked up why do such things always happen to me,anger
i get home i laze around in my pajamas feeling grouchy,anger
i feel irritated a lot,anger
i am feeling very pissed now,anger
That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. ,anger
i do feel slighted when some people use their piece of the cyber world to be rude towards me,anger
i am feeling that cranky voice inside my head that just wants to eat whatever it wants,anger
i feel hated by jim martin s,anger
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone ,anger
i actually thought i would feel bothered being their since ehb and the other woman ow spent quite a bit of time together there but i didnt feel much of anything,anger
i don t want to bury the hatchet with even though it would be in my best interest simply because i feel that apologizing to a person that insulted me would make me feel like a punk,anger
im feeling very grumpy this week but its not just my annual outbreak of ptpt pre te pouhere tension there has surely been a great deal to be grumpy about this week,anger
i feel disrespected and insulted,anger
i feel tortured the one thing i love is the one thing that wont support me financially but i cringe when i think of spending years chained to a desk performing a job by wrote with little or no room for creativity or for anything else that matters,anger
i bet almost each of us though once in their life ever had this kind of feeling called jealous,anger
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger
the patient whom i expected to get well suddenly passed away after he showed had his meals,anger
i feel i m getting distracted and not real,anger
i bet taylor swift basks in the knowledge that the boys she writes songs about probably feel tortured,anger
i can get away these days with the gag line when i feel like being sarcastic that i feel sorry for anyone who wasn t fortunate enough to be born mexican,anger
i whipped my stuff up from my station and fled to the underbelly of grand central desperate to find a subway map feeling disgusted with how upset i was over my frazzle y meltdown,anger
This provocation sets off a curiosity. An entity is feeding fuel to the fire. speaking quatrains. Hmmm America needs to be vigilant now,anger
i cant help but feel someones going to end up pissed at me,anger
i have also always been afraid of the cold pool but i realized that it actually doesn t feel cold after about laps,anger
i was feeling like a beluga whale and quite grouchy,anger
i feel so pissed off over an old friend and some friends,anger
i woke up feeling all frustrated and upset again re enacting the moment i had to succumb to the docs insults and arrogance for a favor to clarify truth about my health,anger
im already feeling less agitated,anger
i feel bothered at the fact that some of us have been given so many chances but i don t see the least bit of appreciation and utter gratefulness downright from their souls,anger
i havent known sue anything like as long as bloater and lisa but i feel like i have you know one of those people you meet and you just click with you can have grumpy old people conversations straight away with them but then roll around laughing the next minute well thats sue,anger
i am feeling a little bit hostile towards my ex today,anger
@MannyM83 @DareToReagan oh yeah. I HATE the air raid and I don't like the Oregon/Baylor offense and I'm not a fan of the ole miss one either,anger
i was feeling a bit annoyed but it didnt really affect me very much,anger
Now that I have my ex's number now its time to prank him. #revenge #prank #whatprankIshoulddo seriously what prank I should I do,anger
i cant get wrapped up in that kind of crap tv because my brain starts getting mushy and i feel feverishly hostile,anger
i have to do this and make some vj feel jealous,anger
ive had my ass handed to me by murt and im starting to feel fucked but just a little,anger
#twitterfails fucking hard right now...this is annoying,anger
i understand but i feel like i hated my friends,anger
i feel offended that youre offended way but in the oh crap there i go offending people again way,anger
i am feeling envious of other nations that despite the very small land,anger
i was dreading it and feeling irritable,anger
Why a puerto Rican with Taino hair and a black nose gotta ruffle your targeted feathers?,anger
When you forget to mention you were bought dreamboys tickets 🙄😂 #raging,anger
i feel furious about him not leaving,anger
im not enjoying winter hate feeling cold and having to dress in so many layers,anger
i feel greedy but too idealistic what is it to expect she would want you to talk to me your proported best friend that she might be happy you have me,anger
i am allowing myself to feel these things and not be bothered,anger
i stand by that he is actually annoying giggle i also acknowledge that i have been feeling very dissatisfied,anger
i am not able to show that directly and so i feel suffocated and irritated,anger
i can go on not saying anything and feeling petty but it seems that this load is gettin heavy,anger
im not sure how i feel about him yet he seemed kind of distracted and out of it but we decided wed give him until the end of the week to prove himself to us,anger
i just feel cold and drained all the time im either hungry or tired or cold at the moment and it sort of sucks,anger
I swear if @devincameron23 blocks me I'm going to hit her back #revenge,anger
i was sitting in the corner stewing in my own muck feeling hated alone unworthy and violated,anger
i am feeling impatient in so many ways but i am equally aware that it is important to learn all i can while im in this season,anger
i feel myself being sucked back in and this vicious cycle starts again every time you open the door and every time you show me more you back back any hints of love what is it that youre afraid of,anger
i need nine hours but it s true and if i get less even seven hours which is supposed to be the norm and which some people consider a lot i feel grumpy unhappy and seriously unmotivated,anger
i feel agitated and empty and missing something,anger
i am drawn to totally solid neutral bags in black and brown throw in a vibrant patent red and maybe if i m feeling dangerous a metallic clutch but that s usually the most adventurous i get with my accessories,anger
im in the car with my roommate and her family i feel like im being all rude because i have to call her and my dad so that my dad can give her directions and she keeps asking what she needs to bring,anger
i just feel like no one cares and no one can be bothered to make the effort and meet up,anger
i have been feeling very insincere,anger
i hope to see or feel a mad glint in your eye because some madness some pathological curiosity is needed,anger
i feel like i have been rather unkind to it,anger
i do feel irritated at times because he tried to hold me and stuff ill push away or not throw temper and shout at him,anger
i get the feeling that she is dissatisfied with life now and that she is filled with regret and bitterness as she has distanced herself from all possible means for disappointment,anger
i am no longer feeling any effects from ibs irritable bowel syndrome that i suffered with for years,anger
i needed a plan on how to get rid of that feeling it was totally taking over everything i am totally distracted at work with everything i m trying to do in any free time i have in the evenings the projects are taking over my life and the fact that i totally feel burnt out by it all,anger
i feel grouchy now the football fans have woken me up from the customary sunday siesta,anger
i were to create a piece similar to this again i would improve on it by spending more time on the background as i feel i rushed this and it could have been more detailed,anger
i feel hated by jim martin s,anger
i feel bitter and just honkerblonked off in general,anger
@WWE is the live event Brock vs Orton 2 this Saturday on the WWE Network? If not it needs to be! :) #wwe @RandyOrton @HeymanHustle ,anger
i always got the feeling she hated me,anger
i just feel really pissed off actually and stressed,anger
im sure you know the feeling of cant be bothered i just feel poo,anger
i feel like theres a dangerous chance that im pulling a don quixote on this blinding rushing at the windmill that is my eventual marriage or future child,anger
i feel stressed out i would watch movies alone or just walk on the streets alone,anger
i feel like i only get mad if i think someones doing something thats really unjust,anger
i feel so pissed about myself,anger
i get another call from a frantic junior for my file and i obviously refused ta help her and now im feeling like i was too rude i mean i jz went like yeah sorry i just dont do that,anger
i feel like im the bitter old lady who has had such a long life and just cant deal with it anymore,anger
i always think of you as such a violent band violently feeling violent lyrics musically violent,anger
i am feeling that bitter sweetness that comes from a deep recess in my soul,anger
i feel that these children will become violent and mentally unsafe as they get older because they are constantly in a dangerous environment,anger
i feel like the most hated person on the planet for turning brendon down,anger
i feel i was appalled to see a misused apostrophe on the bbc and an incorrect spelling on itv last week,anger
sometime back another girl who was in terms with my exboyfriend came to shout at me at twelve midnight it was because she thought i was still interested in the boy,anger
i sort of suspected i was going to feel resentful and not really show my best side,anger
im feeling very grumpy this week but its not just my annual outbreak of ptpt pre te pouhere tension there has surely been a great deal to be grumpy about this week,anger
i feel rude feel free to grab the seat next to me,anger
i feel but i m trying to be stubborn and ignorant at the same time so that i can keep going,anger
i feel more and more dissatisfied with each passing weekend,anger
i couldnt feel thing however that kind of bothered me because i didnt feel it pop,anger
i feel a bit insulted by that as i am nothing like other women i bloody hate them and their incessant bitching in general over bloody nothing most of the time,anger
i was a touch pissed off that janine appears to have totally forgotten my birthday i feel a sarcastic comment in her card next week to make up for it,anger
i have a feeling this is going to be really long and obnoxious,anger
i wonder how genentech feel about a hostile takeover by its global partner,anger
im so damn tired and i feel a little grouchy,anger
@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,anger
i ask about his wife annulment case he feels so irritated and kept on telling me it is on the process,anger
@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,anger
im home i can feel how the cold has seeped into my arms and legs,anger
@JaredLeto Jared + #snap? 💘,anger
i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,anger
i could barely leave the house and i was feeling a lot of isolation and i hated the lack of control i had over my own life because everyone else i knew was moving on with theirs,anger
i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,anger
i think i would have been feeling less grumpy if i hadnt been up and down throughout the night or my lungs deciding that even though i wasnt that unwell it felt as though something was sitting on my chest and flattened me,anger
im feeling a little stressed out about it but i cant do much right now because im waiting for a couple of tax returns in the mail and a letter from jasons employer which is taking quite some time,anger
i feel like theres a dangerous chance that im pulling a don quixote on this blinding rushing at the windmill that is my eventual marriage or future child,anger
i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile,anger
Sorry to burst your bubble but it isn't that century anymore. Welcome to the 21st century.,anger
i still feel somewhat dissatisfied with myself,anger
i feel like a cranky old man saying this but so it goes,anger
i feel the need to be distracted,anger
i feel its rude to take someone s photo but rather that i feel awkward asking to take the photo,anger
@CrayonToCrayon @SueScoby \nIt's always fun to anger 'All the Old Dudes.' with Rock N' Roll :)),anger
i feel so insulted because of a woman,anger
i feel so resentful and hateful and downright furious about this,anger
i kind of feel more violent after having watched the non violence video,anger
i made this i felt some relief from the fear and anxiety but i started feeling pissed again with a whole new set of memories,anger
i squeek at the intimate scenes not once did i feel grossed out or appalled in anyway and not because im a freak but because when you read about these two loving people you forget that theyre brother and sister,anger
im still feeling annoyed though,anger
i feel insulted whenever people say guys cant cry or feel emotional,anger
i came out freaked on the brink of tears feeling angry confused ridiculous small,anger
"@VanDashNessa @taotao_salupa5 Nobody in that street burning and looting and terrifying innocent citizens was there, either.",anger
i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,anger
i got a feeling that the hateful talk in the work place wore thin and they kept her around only for what they absolutely needed her to cover,anger
i feel that i want what i need and know that i just need to bleed in this fucked up world of my own,anger
i prayed for love for the people that i was feeling bitter towards and that they would find what was best for them,anger
i am going to feel annoyed with myself,anger
"@leesyatt you are a cruel, cruel man. #therewillbeblood ",anger
i feel i was wronged,anger
i went to a lecture and once again it had been cancelled,anger
i often feel dissatisfied with such discussions partly because of the persistent everyone is beautiful nonsense but partly because they rarely go past the effects of advertising on body image,anger
@xxmariab listen yh don't provoke me cos I'll make you cry,anger
i met them great people but i have a feeling i may have unintentionally offended them,anger
i feel like i totally fucked up,anger
i feel i m getting distracted and not real,anger
i have been feeling very stressed these days,anger
i feel insulted by this technique which is also proven to be one of the worst for educating because i already read the slide faster than he was able to speak,anger
i wanted other women to feel envious of my figure and say oooh youd never guess youd just had a baby,anger
i feel i cant talk move sometimes even breath with the fear of some kind of rude hateful comment,anger
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger
i could of course go on with it feeling resentful of him with him being blissfully unaware of anything being wrong,anger
i feel that as this greedy obsession continues sustainabilitys growth will be hindered,anger
i was dwelling on the current state of my life i was unsure about my place in life and what i was going to do with it and i was feeling a bit bitter at god because of it,anger
i cant sleep and re read happy posts and i go past the one about picnic day and i get so happy im like james you make me so happy i love you and then repeat as soon as i feel jealous,anger
i dont have a yeast infection in the vagina i could be feeling irritated by yeast due to my diet so i should stop eating lots of sugary foods if i can,anger
i feel like i have to preface this post w a disclaimer of some sort before i have an enraged peta after me or something equally as horrible,anger
i have been in contact with people who are feeling extremely irritable and experiencing major headaches remotional outbursts,anger
i feel impatient with the christian church disciples of christ and its many manifestations over the fact that i haven t yet gotten even the slightest whiff of a call,anger
i take things very personally when i feel wronged even little memories stay with me,anger
i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,anger
i was feeling irritated with the supposed guy who wasting my valuable time talking to a lady,anger
i feel for you you guys who been insulted ill treated lathi charged at the grounds,anger
i know they mean no harm but i cant help but feel offended,anger
i admit i was feeling agitated so when hubby asked me if i want to join them for a drink i agreed,anger
i cant really explain the feeling i get inside when someone is mad at me,anger
@DL_Hart @DonnieDollars @AaronBiggsPro @WWENoWayJose @cwfmidatlantic How did that chop feel? You still feel the sting of it? Looks brutal!,anger
i write now it feels like furious abandonment to embrace a cliche,anger
"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!",anger
&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo,anger
i almost feel greedy for believing that i want so much,anger
i feel all greedy,anger
a girl entered in the division where i work and greeted everybody but not me,anger
i don t feel dissatisfied just distracted from my life,anger
i feel is most dangerous is people dismissing these disconnects and not considering them trials equal to the physical hardships of the revered pioneers,anger
i know the effects of my day to day happenings on my serenity are so subtle at times that i end up feeling irritable and discontent without knowing why,anger
@edquinn63 how can you even forget to pick ur fave child up from school #offended,anger
i seek the presence of people of conscience and i feel around me the optimism of youth with its stubborn refusal to accept a fate forced upon it,anger
I think I must scare my coworkers when I'm eating like a rabid animal on my breaks #srry,anger
i feel a bit frustrated with myself as i know i m not getting out of my dogs in the ring or at training if i m honest at moment due to me but i ll continue to do the remaining shows i ve entered until the end of july as long as we re all enjoying it,anger
i feel like im making all the effort and i cant be bothered with it anymore,anger
i can feel this really effecting my attitude toward her i feel bitter and angry,anger
ive planned and there are still days when i feel stressed to the point of tears and helpless but the good far outweighs the bad and i can honestly say that im happy in this moment,anger
i feel like i am despised,anger
i don t want to feel dissatisfied i want to feel happy and fulfilled i don t want to feel i am lacking of something or nothing at all life would be so emptied,anger
i attempt to convince others of what they should think and how they truly feel i become a title resentful href http en,anger
im feeling resentful and persecuted about that whole aspect,anger
i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard,anger
i was disgusted at the way the bus conductor threw out an old woman oiut of the minibus simply because she could not pay the fare for her luggage,anger
i think about it more i have been feeling symptoms of a cold and headaches for the last couple days,anger
i was feeling a little grumpy thinking about everything that needs to get done but flipping it around this way well now i m ready to roll up my sleeves write some to do lists and get to work,anger
..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,anger
one of my very good friends came to me for advice as her boyfriend had been hitting her and beating her quite harmfully,anger
i keep feeling so disgusted with myself,anger
"my sisters fucking pc, just blued screened me",anger
i am feeling bitchy cross whatever,anger
i feel like making this a stubborn battle of wills,anger
@janae24 lol! y does ur tweet sound like ur voice yelling at me  lol!,anger
i imagine you re going to come away from it feeling a little jealous you can t quite,anger
im currently struggling with feeling offended at my drs office worried about my body and what the heck is wrong very seriously contemplating getting my tubes tied and then the normal everyday things that occupy our minds at any given time,anger
i feel so mad i feel so angry i feel so callous so lost confused again i feel so cheap so used unfaithful let s start over let s start over let s start over,anger
